"GLP","QtdMunicipios"
151,1
157,1
160,1
161,1
178,1
224,1
380,1
490,1
535,1
541,1
556,1
558,1
559,1
563,1
565,1
566,1
574,1
578,1
581,1
628,1
651,1
654,1
655,1
662,1
663,1
667,1
670,1
679,1
680,1
706,1
754,1
761,1
793,1
796,1
797,1
801,1
802,1
867,1
869,1
882,1
564,2
567,2
569,2
570,2
572,2
573,2
643,2
647,2
650,2
652,2
656,2
658,2
661,2
666,2
672,2
674,2
799,2
800,2
803,2
829,2
832,2
868,2
886,2
NA,2
571,3
575,3
664,3
665,3
815,3
826,3
833,3
843,3
845,3
846,3
852,3
853,3
861,3
864,3
865,3
873,3
876,3
877,3
888,3
889,3
576,4
579,4
805,4
821,4
841,4
848,4
849,4
855,4
859,4
860,4
863,4
871,4
887,4
568,5
577,5
660,5
818,5
836,5
838,5
858,5
862,5
872,5
874,5
804,6
806,6
809,6
830,6
831,6
834,6
839,6
856,6
857,6
866,6
811,7
812,7
817,7
825,7
828,7
840,7
854,7
890,7
891,7
808,8
810,8
814,8
820,8
850,8
851,8
870,8
807,9
822,9
823,9
824,9
827,9
842,9
844,9
847,9
816,10
819,10
835,10
837,10
813,14
