Data final (exclusive);01/01/2019;;;;
Total de periodos;759;;;;
;;;;;
ESTADO;ETANOL_HIDRATADO;OLEO_DIESEL;GASOLINA_COMUM;Min;check
AL;759;759;759;759;100,0%
AM;759;759;759;759;100,0%
BA;759;759;759;759;100,0%
CE;759;759;759;759;100,0%
DF;759;759;759;759;100,0%
ES;759;759;759;759;100,0%
GO;759;759;759;759;100,0%
MA;759;759;759;759;100,0%
MT;759;759;759;759;100,0%
MS;759;759;759;759;100,0%
MG;759;759;759;759;100,0%
PA;759;759;759;759;100,0%
PB;759;759;759;759;100,0%
PR;759;759;759;759;100,0%
PI;759;759;759;759;100,0%
RJ;759;759;759;759;100,0%
RN;759;759;759;759;100,0%
RS;759;759;759;759;100,0%
RO;759;759;759;759;100,0%
SP;759;759;759;759;100,0%
SE;759;759;759;759;100,0%
AC;758;759;759;758;99,9%
PE;758;759;759;758;99,9%
SC;758;759;759;758;99,9%
TO;758;759;759;758;99,9%
RR;752;759;759;752;99,1%
AP;693;758;758;693;91,3%
